time,open,high,low,close,volume,day
16:52:00,104.0,104.08,103.77,103.78,980260,1
16:53:00,103.81,103.81,103.66,103.66,1247160,1
16:54:00,103.66,103.66,103.56,103.65,1328520,1
16:55:00,103.65,103.74,103.55,103.7,624040,1
16:56:00,103.7,103.84,103.63,103.79,318370,1
16:57:00,103.76,103.76,103.61,103.7,377590,1
16:58:00,103.69,103.7,103.63,103.68,121730,1
16:59:00,103.68,103.7,103.61,103.7,374110,1
17:00:00,103.65,103.77,103.65,103.77,213290,1
17:01:00,103.75,103.87,103.75,103.87,184790,1
17:02:00,103.84,103.88,103.77,103.79,304780,1
17:03:00,103.78,103.78,103.67,103.69,238170,1
17:04:00,103.66,103.87,103.64,103.87,185570,1
17:05:00,103.85,103.87,103.7,103.83,132150,1
17:06:00,103.83,103.89,103.8,103.88,35550,1
17:07:00,103.88,103.88,103.75,103.85,88650,1
17:08:00,103.85,103.88,103.81,103.87,62520,1
17:09:00,103.87,103.88,103.7,103.79,300210,1
17:10:00,103.78,103.78,103.67,103.73,146350,1
17:11:00,103.7,103.76,103.69,103.76,34040,1
17:12:00,103.72,103.76,103.7,103.76,233880,1
17:13:00,103.75,103.77,103.67,103.74,253910,1
17:14:00,103.74,103.77,103.71,103.77,27790,1
17:15:00,103.78,103.78,103.74,103.76,19210,1
17:16:00,103.76,103.78,103.73,103.75,77090,1
17:17:00,103.75,103.87,103.74,103.83,241320,1
17:18:00,103.83,103.86,103.71,103.74,294470,1
17:19:00,103.74,103.8,103.71,103.75,176150,1
17:20:00,103.75,103.75,103.67,103.72,243130,1
17:21:00,103.71,103.74,103.65,103.68,231830,1
17:22:00,103.68,103.77,103.68,103.77,274020,1
17:23:00,103.77,103.82,103.76,103.8,60230,1
17:24:00,103.8,103.97,103.77,103.9,452190,1
17:25:00,103.87,103.9,103.82,103.9,105490,1
17:26:00,103.87,103.88,103.79,103.82,69300,1
17:27:00,103.79,103.86,103.79,103.86,16940,1
17:28:00,103.83,103.88,103.78,103.81,161580,1
17:29:00,103.8,103.8,103.73,103.74,62360,1
17:30:00,103.74,103.79,103.66,103.7,274490,1
17:31:00,103.69,103.77,103.67,103.75,145310,1
17:32:00,103.76,103.78,103.72,103.74,52540,1
17:33:00,103.72,103.73,103.6,103.69,355840,1
17:34:00,103.67,103.78,103.65,103.77,65500,1
17:35:00,103.77,103.78,103.5,103.59,1025420,1
17:36:00,103.58,103.6,103.5,103.5,768080,1
17:37:00,103.5,103.67,103.5,103.67,210100,1
17:38:00,103.66,103.66,103.53,103.6,183090,1
17:39:00,103.59,103.63,103.54,103.58,89170,1
17:40:00,103.57,103.58,103.31,103.53,2913820,1
17:41:00,103.54,103.66,103.54,103.59,239740,1
17:42:00,103.59,103.62,103.54,103.58,638720,1
17:43:00,103.58,103.6,103.55,103.57,162670,1
17:44:00,103.55,103.61,103.52,103.58,291470,1
17:45:00,103.54,103.57,103.52,103.57,85860,1
17:46:00,103.56,103.56,103.5,103.55,545510,1
17:47:00,103.55,103.56,103.52,103.56,103500,1
17:48:00,103.56,103.59,103.3,103.4,947170,1
17:49:00,103.35,103.56,103.29,103.53,1121520,1
17:50:00,103.51,103.57,103.44,103.55,799300,1
17:51:00,103.52,103.54,103.49,103.54,532010,1
17:52:00,103.54,103.65,103.52,103.64,212130,1
17:53:00,103.64,103.64,103.58,103.6,71250,1
17:54:00,103.6,103.73,103.59,103.61,457170,1
17:55:00,103.59,103.65,103.57,103.62,140690,1
17:56:00,103.62,103.65,103.58,103.63,185390,1
17:57:00,103.58,103.63,103.51,103.55,377900,1
